Source,Target,Weight
4,1,0.2166
5,1,0.3526
6,1,0.0252
7,1,0.6325
8,1,0.0628
3,2,0.5712
4,2,0.0059
5,2,0.4491
6,2,0.4608
7,2,0.5895
9,2,0.0651
2,3,0.3751
4,3,0.3554
5,3,0.3869
6,3,0.2353
7,3,0.7844
8,3,0.2891
1,4,0.4509
3,4,0.5596
5,4,0.1697
6,4,0.0535
7,4,0.0972
8,4,0.0302
1,5,0.7803
2,5,0.3817
3,5,0.3946
4,5,0.2086
6,5,0.4001
2,6,0.2371
4,6,0.0222
5,6,0.0432
7,6,0.2140
1,7,0.6265
2,7,0.1962
3,7,0.4846
6,7,0.1437
8,7,0.2320
2,8,0.1046
3,8,0.1562
4,8,0.1711
6,8,0.0593
7,8,0.0344
1,9,0.0303
2,9,0.0748
