Source,Target,Weight
9,1,0.3047
12,1,0.3570
17,1,0.2404
10,2,0.5481
13,2,0.3305
7,3,0.3279
8,3,0.2657
10,3,0.1132
14,3,0.1664
3,4,0.1102
5,4,0.4823
8,4,0.2218
11,4,0.2190
14,4,0.1020
1,5,0.1010
4,5,1.0506
6,5,0.1808
7,5,0.2336
9,5,0.2461
14,5,0.1747
5,6,0.1172
10,6,0.1712
8,7,0.2105
9,7,0.1786
12,7,0.5668
4,8,0.1134
7,8,0.7769
7,9,0.4084
12,9,0.5246
2,10,0.9080
4,11,0.1396
8,11,0.2408
12,11,0.5653
7,12,0.7181
9,12,0.2250
2,13,0.8426
18,13,0.1046
5,14,0.1000
6,14,0.1960
18,14,0.8050
1,15,0.2205
11,15,0.1558
13,15,0.1226
2,16,0.2076
3,16,0.3535
9,16,0.1656
13,16,0.1862
10,17,0.1361
18,17,0.8506
6,18,0.2028
14,18,0.3947
17,18,0.5393
